@RELATION 'downloader data'

@ATTRIBUTE 'timeOnMarket' 'REAL'
@ATTRIBUTE 'notePrice' 'REAL'
@ATTRIBUTE 'loanGrade' {'A', 'B', 'C', 'D', 'E', 'F', 'G'}
@ATTRIBUTE 'noteStatus' {'B', 'NB', 'NBY', 'C'}

@DATA
60.0472977017,49.25,D,NBY
60.0472977017,49.25,D,NBY
60.0472977017,48.76,D,NBY
60.0472977017,48.76,D,NBY
60.0472977017,47.79,D,NBY
60.0472977017,47.79,D,B
60.0472977017,49.62,E,NBY
60.0472977017,49.62,E,NBY
60.0472977017,49.12,E,NBY
60.0472977017,49.12,E,NBY
60.0472977017,48.14,E,NBY
60.0472977017,48.14,E,B
60.0472977017,49.96,D,NBY
60.0472977017,49.96,D,NBY
60.0472977017,49.46,D,NBY
60.0472977017,49.46,D,NBY
60.0472977017,48.48,D,NBY
60.0472977017,48.48,D,B
60.0472977017,50.1,E,NBY
60.0472977017,50.1,E,NBY
60.0472977017,49.6,E,NBY
60.0472977017,49.6,E,NBY
60.0472977017,48.61,E,NBY
60.0472977017,48.61,E,B
46.0059492262,24.36,D,NBY
46.0059492262,24.36,D,NBY
46.0059492262,23.88,D,NBY
46.0059492262,23.88,D,B
46.0059492262,24.38,D,NBY
46.0059492262,24.38,D,NBY
46.0059492262,23.9,D,NBY
46.0059492262,23.9,D,B
46.0059492262,24.36,D,NBY
46.0059492262,24.36,D,NBY
46.0059492262,23.88,D,NBY
46.0059492262,23.88,D,B
46.0059492262,24.36,D,NBY
46.0059492262,24.36,D,NBY
46.0059492262,23.88,D,NBY
46.0059492262,23.88,D,B
46.0059492262,24.34,D,NBY
46.0059492262,24.34,D,NBY
46.0059492262,23.86,D,NBY
46.0059492262,23.86,D,B
46.0059492262,24.36,D,NBY
46.0059492262,24.36,D,NBY
46.0059492262,23.88,D,NBY
46.0059492262,23.88,D,B
46.0059492262,49.36,D,NBY
46.0059492262,49.36,D,NBY
46.0059492262,48.38,D,NBY
46.0059492262,48.38,D,B
46.0059492262,24.36,D,NBY
46.0059492262,24.36,D,NBY
46.0059492262,23.88,D,NBY
46.0059492262,23.88,D,B
25.0520755119,54.11,B,NBY
25.0520755119,54.11,B,B
25.0520755119,53.73,B,NBY
25.0520755119,53.73,B,B
8.04917433057,8.0,A,NBY
8.04917433057,8.0,A,B
7.04523295449,23.43,D,NBY
7.04523295449,23.43,D,NBY
7.04523295449,23.3,D,NBY
7.04523295449,23.3,D,B
7.04523295449,23.43,D,NBY
7.04523295449,23.43,D,NBY
7.04523295449,23.3,D,NBY
7.04523295449,23.3,D,B
7.04523295449,51.05,E,NBY
7.04523295449,50.0,E,NBY
7.04523295449,50.0,E,B
7.04523295449,23.47,D,NBY
7.04523295449,23.47,D,NBY
7.04523295449,23.3,D,NBY
7.04523295449,23.3,D,B
7.04523295449,23.47,D,NBY
7.04523295449,23.47,D,NBY
7.04523295449,23.3,D,NBY
7.04523295449,23.3,D,B
3.98722999864,22.71,B,NBY
3.98722999864,22.71,B,B
3.98722999864,46.71,G,NBY
3.98722999864,46.71,G,B
3.98722999864,23.3,B,NBY
3.98722999864,23.3,B,B
3.98722999864,23.77,G,NBY
3.98722999864,23.77,G,B
3.98722999864,46.71,G,NBY
3.98722999864,46.71,G,B
3.04015339586,70.01,F,NBY
3.04015339586,70.01,F,B
3.04015339586,18.78,G,NBY
3.04015339586,18.78,G,B
0.0,13.11,B,C
0.0,12.74,A,C
3.99516791417,21.56,B,NBY
3.99516791417,21.56,B,B
4.94224451694,20.26,B,NBY
4.94224451694,20.26,B,B
2.00025264084,41.27,C,NBY
2.00025264084,41.27,C,B
124.0057393,26.27,G,NBY
124.0057393,26.27,G,NBY
124.0057393,26.31,G,NBY
124.0057393,26.31,G,NBY
124.0057393,26.35,G,NBY
124.0057393,26.35,G,NBY
124.0057393,24.64,G,NBY
124.0057393,24.64,G,B
3.99516791417,19.92,C,NBY
3.99516791417,19.92,C,B
